,home_team,away_team,date
229,St. Cloud,Chisago Lakes,Tue May  5
230,Rosemount,Eastview,Thu May  7
231,TrIMAC,Providence Academy,Thu Apr 16
232,St. Cloud,Sartell Sauk Rapids,Thu Apr 23
233,St. Louis Park,Southwest Christian,Sat Apr 25
234,Delano/Rockford,Becker,Tue Apr 28
235,Hermantown/Proctor,TrIMAC,Sat May  2
236,Northfield,Mankato,Fri May 15
237,Rogers,Spring Lake Park,Thu Apr  9
238,White Bear Lake,Minnetonka,Sat May 16
239,Lakeville South,New Prague,Fri Apr 17
240,Becker,Buffalo,Fri May 15
241,Minneapolis,Hopkins,Mon May 18
242,Grand Rapids,Hermantown Proctor,Fri May  1
243,Holy Family,Breck,Thu Apr 30
244,Maple Grove,Osseo Park Center,Mon Apr 27
245,Minneapolis,Holy Angels,Fri May 15
246,Bloomington Jefferson,Chaska,Thu Apr 23
247,Coon Rapids,Rogers,Wed Apr 29
248,Benilde-St. Margarets,Lakeville South,Sat Apr 18
249,Chisago Lakes,Delano Rockford,Fri Apr 24
250,Blake,TrIMAC,Thu Apr 30
251,Mahtomedi,Tartan,Wed Apr 29
252,Chisago Lakes,Grand Rapids,Fri Apr 17
253,Bloomington Kennedy,St. Louis Park,Tue May 12
254,Farmington,Rosemount,Thu Apr 30
255,Northfield,Rochester JM/Lourdes,Thu Apr 30
256,Shakopee,Bloomington Kennedy,Tue Apr 14
257,Stillwater,St. Thomas Academy,Thu Apr 16
258,TrIMAC,St. Louis Park,Fri May  8
259,Rochester Century,Rochester JM Lourdes,Mon May  4
260,Rocori,St. Cloud,Mon Apr 27
261,Rochester Mayo,Chaska,Sat May 16
262,Buffalo,Eden Prairie,Sat Apr 25
263,Providence Academy,Osseo Park Center,Sat Apr 25
264,Rochester JM/Lourdes,Northfield,Mon May 18
265,Minnetonka,Grand Rapids,Sat May  9
266,Southwest Christian,New Prague,Sat May  9
267,Brainerd,Moorhead,Sat Apr 18
268,Mound Westonka,Delano/Rockford,Mon May  4
269,Waconia,Mound Westonka,Thu Apr 30
270,Spring Lake Park,Totino-Grace,Mon Apr 13
271,Holy Angels,Providence Academy,Sat May  2
272,Hermantown/Proctor,Forest Lake,Sat Apr 18
273,Hastings,Tartan,Mon Apr 27
274,Woodbury,White Bear Lake,Wed Apr 22
275,Becker,Monticello,Mon Apr 20
276,New Prague,Orono,Mon May 18
277,Orono,Blake,Sat Apr 18
278,East Ridge,Mounds View,Fri May 15
279,Anoka,Totino-Grace,Wed Apr 29
280,Brainerd,Rocori,Mon May 11
281,Maple Grove,Coon Rapids,Mon Apr 20
282,Irondale,Duluth,Sat Apr 11
283,Rochester Century,Hastings,Thu Apr 16
284,Delano Rockford,St. Michael-Albertville,Thu May 21
285,Orono,Shakopee,Fri May 22
286,Waconia,Providence Academy,Sat Apr 18
287,Waconia,Mankato,Fri Apr 24
288,Farmington,Eagan,Fri Apr 24
289,St. Cloud,Becker,Thu May 21
290,Chisago Lakes,Forest Lake,Mon Apr 20
291,Rochester Mayo,Northfield,Mon May 11
292,Buffalo,Mound Westonka,Thu May 21
293,Simley,Hill-Murray,Thu Apr 23
294,St. Paul,Hermantown/Proctor,Wed Apr 29
295,Chisago Lakes,Sartell/Sauk Rapids,Thu May 21
296,Prior Lake,Eagan,Tue May 19
297,Rochester JM/Lourdes,Rochester Mayo,Thu May  7
298,Monticello,Rocori,Thu May 21
299,Bloomington Kennedy,Owatonna,Sat Apr 25
300,Lakeville South,Eagan,Tue Apr 28
301,Prior Lake,Lakeville North,Thu Apr 23
302,Hermantown Proctor,TrIMAC,Sat May  2
303,St. Paul,Owatonna,Tue May 12
304,Big Lake,St. Cloud,Mon May 18
305,Bloomington Kennedy,Apple Valley,Fri May  1
306,Osseo Park Center,Elk River/Zimmerman,Wed Apr 15
307,White Bear Lake,Stillwater,Wed May 20
308,Minnetonka,Elk River/Zimmerman,Sat Apr 25
309,Champlin Park,Elk River/Zimmerman,Wed May 20
310,Mankato,Rochester JM Lourdes,Mon May 11
311,Lakeville South,Lakeville North,Tue May 12
312,Roseville,Minneapolis,Mon Apr 27
313,Irondale,Totino-Grace,Mon Apr 20
314,Osseo/Park Center,Robbinsdale Armstrong,Wed May 13
315,White Bear Lake,Roseville,Wed May 13
316,Elk River/Zimmerman,Robbinsdale Armstrong,Mon Apr 13
317,Hermantown Proctor,Forest Lake,Sat Apr 18
318,Blake,Bloomington Jefferson,Thu Apr  9
319,Grand Rapids,Providence Academy,Sat May 16
320,Osseo/Park Center,Centennial,Wed Apr 22
321,Champlin Park,Rogers,Wed Apr 22
322,Spring Lake Park,Roseville,Fri Apr 17
323,Duluth,Rochester Century,Sat Apr 18
324,Chanhassen,St. Thomas Academy,Tue May 12
325,Henry Sibley,North St. Paul,Fri May 15
326,St. Paul,Hermantown Proctor,Wed Apr 29
327,Park of Cottage Grove,Cretin-Derham Hall,Fri May  1
328,Monticello,Buffalo,Tue Apr 14
329,Hermantown/Proctor,Grand Rapids,Thu Apr  9
330,Roseville,Hill-Murray,Mon May 18
331,Stillwater,Forest Lake,Fri Apr 24
332,Brainerd,Sartell/Sauk Rapids,Tue Apr 28
333,Champlin Park,Blaine,Wed Apr 15
334,Maple Grove,Totino-Grace,Wed May 13
335,Lakeville North,Eagan,Mon May  4
336,Elk River Zimmerman,Andover,Mon Apr 27
337,White Bear Lake,Mahtomedi,Thu Apr 16
338,Hastings,Cretin-Derham Hall,Sat May  2
339,White Bear Lake,East Ridge,Fri May  1
340,Irondale,Woodbury,Wed Apr 29
341,Holy Angels,Breck,Mon Apr 27
342,Anoka,Champlin Park,Wed May  6
343,Buffalo,Delano/Rockford,Mon Apr 13
344,Holy Family,Waconia,Thu May 14
345,Benilde-St. Margarets,Minnetonka,Tue Apr 14
346,Mahtomedi,North St. Paul,Tue May  5
347,St. Thomas Academy,Rosemount,Sat Apr 18
348,Totino-Grace,Blaine,Sat Apr 25
349,Forest Lake,Irondale,Fri May  1
350,Mahtomedi,Henry Sibley,Mon Apr 20
351,Owatonna,Northfield,Mon Apr 13
352,Brainerd,Sartell Sauk Rapids,Tue Apr 28
353,Spring Lake Park,Champlin Park,Mon Apr 20
354,Chanhassen,Edina,Thu May  7
355,Park of Cottage Grove,East Ridge,Thu Apr 23
356,Burnsville,Farmington,Tue May 19
357,Hermantown/Proctor,Moorhead,Sat May 16
358,New Prague,Mound Westonka,Mon Apr 13
359,Woodbury,Roseville,Fri May  1
360,Edina,Benilde-St. Margarets,Sat May 16
361,Coon Rapids,Elk River/Zimmerman,Thu Apr  9
362,Eagan,Rosemount,Tue May 12
363,Robbinsdale Armstrong,Totino-Grace,Wed Apr 22
364,Totino-Grace,Centennial,Wed May 20
365,Monticello,Big Lake,Thu May 14
366,Burnsville,Rosemount,Tue Apr 28
367,Simley,Henry Sibley,Thu May  7
368,Elk River Zimmerman,Blaine,Wed May  6
369,Cretin-Derham Hall,Mounds View,Wed Apr 22
370,Hill-Murray,St. Michael-Albertville,Tue Apr 14
371,Burnsville,Bloomington Jefferson,Sat Apr 18
372,Roseville,Forest Lake,Wed May 20
373,Centennial,Anoka,Mon Apr 27
374,Monticello,Orono,Sat Apr 25
375,Chisago Lakes,Sartell Sauk Rapids,Thu May 21
376,Wayzata,Hopkins,Tue Apr 28
377,Totino-Grace,Elk River Zimmerman,Mon May 18
378,Chanhassen,Blake,Fri May 15
379,Bloomington Kennedy,Burnsville,Thu May  7
380,Mounds View,White Bear Lake,Wed May  6
381,Chanhassen,Bloomington Jefferson,Thu Apr 16
382,Lakeville North,Eastview,Thu Apr 30
383,Eastview,Lakeville South,Tue May 19
384,Cretin-Derham Hall,Roseville,Wed Apr 29
385,Duluth,Hermantown/Proctor,Wed May  6
386,Hermantown Proctor,Northfield,Fri May  8
387,Minnetonka,Wayzata,Thu Apr 16
388,Providence Academy,Osseo/Park Center,Sat Apr 25
