,home_team,home_team_score,home_team_record,home_team_GFvGA,away_team,away_team_score,away_team_record,away_team_GFvGA,winner,year,date
923,White Bear Lake,21,0.72,0.6255411255411255,Cretin-Derham Hall,8,0.4615384615384616,0.4822222222222222,0,2018,Tue May  1
924,Robbinsdale Armstrong,3,0.4615384615384616,0.4762886597938144,Blaine,14,0.68,0.6119791666666666,1,2019,Mon Apr 29
925,Bloomington Jefferson,9,0.5384615384615384,0.5596330275229358,Chaska,6,0.3461538461538461,0.4004739336492891,0,2018,Wed May 16
926,Holy Family,4,0.13043478260869565,0.2868020304568528,Rogers,16,0.7083333333333334,0.6714876033057852,1,2018,Thu May 17
927,Chaska,3,0.3461538461538461,0.4004739336492891,Delano Rockford,12,0.7307692307692307,0.6274944567627494,1,2018,Tue Apr 24
928,Spring Lake Park,3,0.1153846153846154,0.29195402298850576,Irondale,19,0.9230769230769232,0.7096069868995634,1,2019,Fri Apr 12
929,Totino-Grace,8,0.19230769230769232,0.3392857142857143,Anoka,9,0.2,0.3634408602150538,1,2019,Wed May  1
930,St. Thomas Academy,10,0.8461538461538461,0.7041942604856513,Mahtomedi,7,0.6923076923076923,0.6294117647058823,0,2019,Tue Apr 23
931,Rosemount,19,0.72,0.6347826086956522,Apple Valley,4,0.24,0.299163179916318,0,2019,Thu May 16
932,Eagan,8,0.7083333333333334,0.6666666666666666,Benilde-St. Margarets,14,1.0,0.7230769230769231,1,2019,Sat May 11
933,Osseo Park Center,14,0.3703703703703704,0.5057251908396947,Maple Grove,11,0.6,0.6025316455696202,0,2018,Fri May  4
934,North St. Paul,2,0.045454545454545456,0.13817330210772832,Coon Rapids,18,0.15384615384615385,0.3166023166023166,1,2019,Tue May 21
935,Blaine,7,0.68,0.6119791666666666,Champlin Park,10,0.4615384615384616,0.4656319290465632,1,2018,Fri May 25
936,Bloomington Jefferson,6,0.5384615384615384,0.5596330275229358,Edina,7,0.4615384615384616,0.5092592592592593,1,2018,Sat Apr 21
937,Buffalo,19,0.6666666666666666,0.6193293885601578,Sartell Sauk Rapids,5,0.20833333333333331,0.271264367816092,0,2018,Thu May 10
938,Lakeville South,9,0.4615384615384616,0.4942339373970346,Lakeville North,17,0.64,0.5704989154013015,1,2018,Thu May  3
939,Delano Rockford,13,0.7307692307692307,0.6274944567627494,Holy Family,2,0.13043478260869565,0.2868020304568528,0,2019,Thu May  2
940,Rocori,9,0.4583333333333333,0.4561855670103093,St. Cloud,5,0.4,0.41326530612244894,0,2018,Thu May  3
941,Southwest Christian,8,0.3333333333333333,0.4048582995951417,Waconia,7,0.09090909090909093,0.2525252525252525,0,2019,Fri May 17
942,Mounds View,7,0.48,0.5055928411633109,White Bear Lake,13,0.72,0.6255411255411255,1,2018,Thu May  3
943,Lakeville South,11,0.4615384615384616,0.4942339373970346,Farmington,5,0.19230769230769232,0.2717678100263852,0,2018,Thu May 24
944,Osseo Park Center,7,0.3703703703703704,0.5057251908396947,Blaine,8,0.68,0.6119791666666666,1,2018,Mon May 21
945,Stillwater,16,0.92,0.7283702213279678,Cretin-Derham Hall,6,0.4615384615384616,0.4822222222222222,0,2019,Tue Apr 23
946,Rochester Century,9,0.28,0.3638253638253639,Mankato,10,0.4166666666666667,0.4609571788413098,1,2018,Mon May  7
947,Champlin Park,5,0.4615384615384616,0.4656319290465632,Robbinsdale Armstrong,9,0.4615384615384616,0.4762886597938144,1,2019,Wed May  1
948,Andover,13,0.6923076923076923,0.5466101694915254,Champlin Park,5,0.4615384615384616,0.4656319290465632,0,2018,Tue May 22
949,Blaine,5,0.68,0.6119791666666666,Maple Grove,3,0.6,0.6025316455696202,0,2018,Wed May  9
950,St. Louis Park,3,0.125,0.21521739130434786,Orono,13,0.5384615384615384,0.5379876796714579,1,2018,Thu May  3
951,Spring Lake Park,3,0.1153846153846154,0.29195402298850576,Blaine,13,0.68,0.6119791666666666,1,2019,Wed May 22
952,St. Louis Park,2,0.125,0.21521739130434786,Chanhassen,18,0.72,0.6299559471365639,1,2018,Tue May 15
953,Chisago Lakes,7,0.5416666666666666,0.5542452830188679,St. Cloud,5,0.4,0.41326530612244894,0,2018,Mon Apr 30
954,Northfield,10,0.56,0.5971896955503513,Owatonna,3,0.5769230769230769,0.6091954022988506,0,2019,Wed May 22
955,Hopkins,4,0.15384615384615385,0.201530612244898,St. Louis Park,8,0.125,0.21521739130434786,1,2018,Wed May 16
956,Chanhassen,8,0.72,0.6299559471365639,Bloomington Jefferson,9,0.5384615384615384,0.5596330275229358,1,2019,Thu May  2
957,Hermantown Proctor,5,0.4166666666666667,0.4541284403669725,Forest Lake,16,0.19230769230769232,0.3790849673202614,1,2018,Fri May 11
958,Apple Valley,2,0.24,0.299163179916318,Rosemount,14,0.72,0.6347826086956522,1,2018,Tue May 22
959,St. Paul,8,0.5,0.4967320261437909,Hill-Murray,10,0.2916666666666667,0.3333333333333333,1,2019,Tue May 21
960,Chaska,8,0.3461538461538461,0.4004739336492891,Orono,7,0.5384615384615384,0.5379876796714579,0,2019,Fri May 10
961,Minneapolis,21,0.5416666666666666,0.5553470919324578,TrIMAC,7,0.2,0.3805147058823529,0,2018,Mon May 21
